Date,Open,High,Low,Close,Adj Close,Volume
2020-11-05,57360.000000,58420.000000,57340.000000,57910.000000,56646.996094,1279300
2020-11-06,59300.000000,60290.000000,57760.000000,57810.000000,56549.179688,2381800
2020-11-09,58330.000000,58750.000000,56550.000000,56550.000000,55316.660156,1641500
2020-11-10,54000.000000,54910.000000,53120.000000,54010.000000,52832.054688,2502700
2020-11-11,51310.000000,52410.000000,51200.000000,51680.000000,50552.871094,2449500
2020-11-12,52800.000000,53970.000000,52560.000000,53900.000000,52724.453125,1645600
2020-11-13,54810.000000,54910.000000,53870.000000,54480.000000,53291.804688,1215000
2020-11-16,54600.000000,54670.000000,53300.000000,53440.000000,52274.488281,1081200
2020-11-17,53710.000000,54440.000000,52760.000000,53190.000000,52029.937500,1348700
2020-11-18,53140.000000,53340.000000,52380.000000,53240.000000,52078.847656,1016500
2020-11-19,53750.000000,54420.000000,53360.000000,54420.000000,53233.113281,1188600
2020-11-20,55500.000000,55550.000000,54220.000000,54550.000000,53360.277344,1014500
2020-11-24,55130.000000,55140.000000,54260.000000,54990.000000,53790.679688,1197500
2020-11-25,54880.000000,55910.000000,54600.000000,55160.000000,53956.972656,1241300
2020-11-26,56000.000000,57710.000000,55660.000000,57710.000000,56451.359375,1843500
2020-11-27,57570.000000,58350.000000,57020.000000,58190.000000,56920.890625,1515900
2020-11-30,58700.000000,59380.000000,58570.000000,59260.000000,57967.554688,1628900
2020-12-01,59250.000000,59560.000000,57190.000000,57370.000000,56118.773438,1597000
2020-12-02,57470.000000,57900.000000,56800.000000,57010.000000,55766.625000,1068500
2020-12-03,56800.000000,57540.000000,55970.000000,56250.000000,55023.203125,1023700
2020-12-04,56500.000000,57200.000000,56110.000000,56930.000000,55688.371094,880600
2020-12-07,57300.000000,57850.000000,57030.000000,57770.000000,56510.050781,1109300
2020-12-08,58000.000000,58640.000000,57630.000000,58390.000000,57116.527344,1058800
2020-12-09,58390.000000,58980.000000,57820.000000,58950.000000,57664.316406,1043500
2020-12-10,58610.000000,59320.000000,58440.000000,59010.000000,57723.007813,1088200
2020-12-11,59390.000000,60770.000000,59310.000000,60340.000000,59024.000000,2053800
2020-12-14,60580.000000,62500.000000,60580.000000,62230.000000,60872.777344,1935300
2020-12-15,62910.000000,63250.000000,61440.000000,61620.000000,60276.082031,2010000
2020-12-16,61000.000000,63410.000000,60810.000000,63410.000000,62027.042969,2198000
2020-12-17,63300.000000,67880.000000,63090.000000,67600.000000,66125.664063,4313300
2020-12-18,67540.000000,67740.000000,65520.000000,66720.000000,65264.851563,2259700
2020-12-21,66000.000000,66560.000000,64860.000000,65250.000000,63826.914063,1272700
2020-12-22,65470.000000,66080.000000,63860.000000,64400.000000,62995.453125,1362500
2020-12-23,64400.000000,65080.000000,63910.000000,64480.000000,63073.707031,914600
2020-12-24,64870.000000,64870.000000,64010.000000,64730.000000,63318.253906,606100
2020-12-25,64750.000000,65090.000000,64330.000000,64670.000000,63259.562500,520000
2020-12-28,64920.000000,66150.000000,64670.000000,65880.000000,64443.171875,1189300
2020-12-29,66290.000000,66630.000000,65560.000000,65860.000000,64423.609375,898600
2020-12-30,65560.000000,66580.000000,65460.000000,65830.000000,64394.265625,784700
2021-01-04,65980.000000,66090.000000,64920.000000,65550.000000,64120.371094,779000
2021-01-05,65190.000000,66120.000000,64600.000000,66090.000000,64648.593750,874400
2021-01-06,66550.000000,67350.000000,64760.000000,64780.000000,63367.164063,1534000
